EMAIL,COMPANY,COUNTRY,SEGMENT,SUBTYPE,PRIORITY,EMAILTYPE,DEMOLINK,WEBSITE
info@dutumgroup.com,Dutum Company Limited,Nigeria,Facility management,Integrated FM,A,Company inbox,/demo?industry=facilities&client=Dutum%20Company%20Limited,https://dutumgroup.com/
elektrintlagos@elektrint.com,Elektrint (Nigeria) Limited,Nigeria,Facility management,MEP maintenance,A,Company inbox,/demo?industry=facilities&client=Elektrint,https://www.elektrint.com/
bd@globalpfi.com,Global Property & Facilities International Ltd (GPFI),Nigeria,Facility management,Integrated FM,A,Company inbox,/demo?industry=facilities&client=Global%20Property%20%26%20Facilities%20International%20Ltd,https://gpfi.ng/
info@jidetaiwoandco.com,Jide Taiwo & Co.,Nigeria,Facility management,Property / estate FM,A,Company inbox,/demo?industry=facilities&client=Jide%20Taiwo%20%26%20Co.,https://jidetaiwoandco.com/
kleenol@yahoo.co.uk,Kleenol Nigeria Limited,Nigeria,Facility management,HVAC maintenance,A,Free-mail inbox,/demo?industry=facilities&client=Kleenol%20Nigeria%20Limited,https://www.kleenolng.com/
kresta@krestalaurel.com,Kresta Laurel Limited,Nigeria,Facility management,Lifts & escalators,A,Company inbox,/demo?industry=facilities&client=Kresta%20Laurel%20Limited,https://krestalaurel.com/
info@liftelevator.com.ng,Lift Elevator Craft,Nigeria,Facility management,Lifts & escalators,A,Company inbox,/demo?industry=facilities&client=Lift%20Elevator%20Craft,https://www.liftelevator.com.ng/
hello@orakl-solutions.com,Orakl Solutions,Nigeria,Facility management,Lifts & escalators,A,Company inbox,/demo?industry=facilities&client=Orakl%20Solutions,https://orakl-solutions.com/
info@sarakeys.com.ng,Sarakeys,Nigeria,Facility management,Lifts & escalators,A,Company inbox,/demo?industry=facilities&client=Sarakeys,http://www.sarakeys.com.ng/
info@solidrockfacilitymanagers.com,Solid Rock Facility Managers,Nigeria,Facility management,Integrated FM,A,Company inbox,/demo?industry=facilities&client=Solid%20Rock%20Facility%20Managers,http://solidrockfacilitymanagers.com/
info@tecnicoolnig.com,Tecnicool Nigeria Limited,Nigeria,Facility management,HVAC maintenance,A,Company inbox,/demo?industry=facilities&client=Tecnicool%20Nigeria%20Limited,https://tecnicoolnig.com/
info@ashipaelectric.com,Ashipa Electric Limited,Nigeria,Solar & mini-grids,Mini-grid developer/operator,A,Company inbox,/demo?industry=solar&client=Ashipa%20Electric%20Limited,https://www.ashipaelectric.com
info@dbenergy.com.ng,DB Energy,Nigeria,Solar & mini-grids,C&I solar / EPC,A,Company inbox,/demo?industry=solar&client=DB%20Energy,https://www.dbenergy.ng
support@darwaycoast.com,Darway Coast Ltd,Nigeria,Solar & mini-grids,Mini-grid developer/operator,A,Company inbox,/demo?industry=solar&client=Darway%20Coast%20Ltd,https://darwaycoast.com
info@emone.energy,EM-ONE Energy Solutions,Nigeria,Solar & mini-grids,Mini-grid developer/operator,A,Company inbox,/demo?industry=solar&client=EM-ONE%20Energy%20Solutions,https://www.emone.energy
info@etinpower.com,EtinPower Limited,Nigeria,Solar & mini-grids,Mini-grid developer/operator,A,Company inbox,/demo?industry=solar&client=EtinPower%20Limited,https://www.etinpower.com
contact@greenagetech.com,Greenage Technologies Power Systems,Nigeria,Solar & mini-grids,Mini-grid developer/operator,A,Company inbox,/demo?industry=solar&client=Greenage%20Technologies%20Power%20Systems,https://greenagetech.com
info@havenhillsynergy.com,Havenhill Synergy Ltd,Nigeria,Solar & mini-grids,Mini-grid developer/operator,A,Company inbox,/demo?industry=solar&client=Havenhill%20Synergy%20Ltd,https://havenhillsynergy.com
info@indicelsolar.com,Indicel Solar,Nigeria,Solar & mini-grids,C&I solar / EPC,A,Company inbox,/demo?industry=solar&client=Indicel%20Solar,https://indicelsolar.com
info@pradopower.org,Prado Power,Nigeria,Solar & mini-grids,Mini-grid developer/operator,A,Company inbox,/demo?industry=solar&client=Prado%20Power,https://www.pradopower.org
info@prividaenergy.com,PriVida Power Limited,Nigeria,Solar & mini-grids,Mini-grid developer/operator,A,Company inbox,/demo?industry=solar&client=PriVida%20Power%20Limited,https://www.prividaenergy.com
info@protergiaenergy.com,Protergia Energy Nigeria,Nigeria,Solar & mini-grids,Mini-grid developer/operator,A,Company inbox,/demo?industry=solar&client=Protergia%20Energy%20Nigeria,https://protergiaenergy.com
info@rubitecsolar.com,Rubitec Solar,Nigeria,Solar & mini-grids,Mini-grid developer/operator,A,Company inbox,/demo?industry=solar&client=Rubitec%20Solar,https://rubitecsolar.com
admin@solarlify.com.ng,Solarlify,Nigeria,Solar & mini-grids,Residential & small commercial installer,A,Company inbox,/demo?industry=solar&client=Solarlify,https://solarlify.com.ng
sosai@sosairen.org,Sosai Renewable Energies Company,Nigeria,Solar & mini-grids,Mini-grid developer/operator,A,Company inbox,/demo?industry=solar&client=Sosai%20Renewable%20Energies%20Company,https://sosairen.org
info@sunhive.com,Sunhive Limited,Nigeria,Solar & mini-grids,Mini-grid developer/operator,A,Company inbox,/demo?industry=solar&client=Sunhive%20Limited,https://sunhive.com
support@cetechbpa.com,CETECH Ghana,Ghana,Facility management,HVAC maintenance,A,Company inbox,/demo?industry=facilities&client=CETECH%20Ghana,https://cetechbpa.com/
info@dm.co.tz,Diamond Maintenance Tanzania Limited,Tanzania,Facility management,Integrated FM,A,Company inbox,/demo?industry=facilities&client=Diamond%20Maintenance%20Tanzania%20Limited,https://dm.co.tz/
sales@elevatorcompany.co.za,Elevator Maintenance Company (EMC),South Africa,Facility management,Lifts & escalators,A,Company inbox,/demo?industry=facilities&client=Elevator%20Maintenance%20Company,https://elevatorcompany.co.za/
info@fm-solutions.co.za,Facilities Management Solutions (FM Solutions),South Africa,Facility management,Integrated FM,A,Company inbox,/demo?industry=facilities&client=Facilities%20Management%20Solutions,https://www.fm-solutions.co.za/
sales@gammaheightseng.com,Gamma Heights Engineering,Ghana,Facility management,Lifts & escalators,A,Company inbox,/demo?industry=facilities&client=Gamma%20Heights%20Engineering,https://gammaheightseng.com/
info@leafyspace.co.za,LeafySpace (Pty) Ltd,South Africa,Facility management,Integrated FM,A,Company inbox,/demo?industry=facilities&client=LeafySpace,https://leafyspace.co.za/
mcoolelectroengineeringlimited@gmail.com,M-Cool Electro Engineering Services Limited,Kenya,Facility management,HVAC maintenance,A,Free-mail inbox,/demo?industry=facilities&client=M-Cool%20Electro%20Engineering%20Services%20Limited,https://mcool.co.ke/
info@musandahfm.com,Musandah Assets Management,Egypt,Facility management,Integrated FM,A,Company inbox,/demo?industry=facilities&client=Musandah%20Assets%20Management,https://musandahfm.com/
info@pkbaengineeringco.com,PKBA Engineering Co,Ghana,Facility management,HVAC maintenance,A,Company inbox,/demo?industry=facilities&client=PKBA%20Engineering%20Co,https://pkbaengineeringco.com/
info@relislifts.co.za,Relis Lifts,South Africa,Facility management,Lifts & escalators,A,Company inbox,/demo?industry=facilities&client=Relis%20Lifts,https://relislifts.co.za/
sales@riseelevators.co.za,Rise Elevators,South Africa,Facility management,Lifts & escalators,A,Company inbox,/demo?industry=facilities&client=Rise%20Elevators,https://www.riseelevators.co.za/
fs@spxsa.com,SPINX (SPXSA),South Africa,Facility management,Property / estate FM,A,Company inbox,/demo?industry=facilities&client=SPINX,https://spxsa.com/
info@arcpower.co,ARC Power Ltd,Rwanda,Solar & mini-grids,Mini-grid developer/operator,A,Company inbox,/demo?industry=solar&client=ARC%20Power%20Ltd,https://arcpower.co/
info@ariyafinergy.com,Ariya Finergy,Kenya,Solar & mini-grids,Solar O&M,A,Company inbox,/demo?industry=solar&client=Ariya%20Finergy,https://ariyafinergy.com/
info@energypartners.co.za,Energy Partners,South Africa,Solar & mini-grids,C&I solar / EPC,A,Company inbox,/demo?industry=solar&client=Energy%20Partners,https://energypartners.co.za/
info@ensol.co.tz,Ensol (T) Limited,Tanzania,Solar & mini-grids,Mini-grid developer/operator,A,Company inbox,/demo?industry=solar&client=Ensol,https://ensol.co.tz/
mail@equator.energy,Equator Energy Ltd,Kenya,Solar & mini-grids,Solar O&M,A,Company inbox,/demo?industry=solar&client=Equator%20Energy%20Ltd,https://equator.energy/
sales@forestenergy.co.za,Forest Energy,South Africa,Solar & mini-grids,Solar O&M,A,Company inbox,/demo?industry=solar&client=Forest%20Energy,https://www.forestenergy.co.za/
info@jumeme.com,Jumeme Rural Power Supply,Tanzania,Solar & mini-grids,Mini-grid developer/operator,A,Company inbox,/demo?industry=solar&client=Jumeme%20Rural%20Power%20Supply,https://www.jumeme.com/
sales@muhanyasolar.com,Muhanya Solar Limited,Zambia,Solar & mini-grids,Mini-grid developer/operator,A,Company inbox,/demo?industry=solar&client=Muhanya%20Solar%20Limited,https://www.muhanyasolar.com/
info@newsouthernenergy.com,New Southern Energy (NSE),South Africa,Solar & mini-grids,Solar O&M,A,Company inbox,/demo?industry=solar&client=New%20Southern%20Energy,https://www.nse.africa/
info@powergen-re.com,PowerGen Renewable Energy,Kenya,Solar & mini-grids,Mini-grid developer/operator,A,Company inbox,/demo?industry=solar&client=PowerGen%20Renewable%20Energy,https://powergen-renewable-energy.com/
